Q9W3Z4	Q7KMJ6
Q9VB22	Q7KMJ6
P40427	Q7KMJ6
O46106	Q8IQG0
Q9VL91	O46106
Q7KLW9	O46106
Q8STG9	O46106
O46106	Q8I8V0
Q8I8V0	O46106
Q9W4P5	Q9VYG2
Q9W418	Q9W325
Q9W418	Q9VA06
Q9W418	Q9W403
Q9W418	Q7YZ91
Q9W2X5	Q9VCR6
Q9W2Y4	Q9VE92
P40427	Q9W2Y4
Q9W334	Q9VYC7
Q9W457	Q8IQG0
Q9W457	Q86B87
P40427	Q9V439
Q9W401	A1Z7K2
Q5U124	Q8MSX2
P27716	O77237
Q9W0Z5	P21461
Q9XZT7	Q94883
Q9VWY6	Q9XZT7
Q8SYH8	Q9W325
Q9W325	Q8T079
Q9VAH4	Q9W325
Q9VMD7	Q9W325
Q86BR6	P23572
Q9VTU4	Q9VAE7
Q9VK57	Q9VAE7
P08570	Q9VER6
Q9VER6	P48451
Q8STG9	Q95V55
P23380	Q8IP72
P84051	Q9VM22
A1Z6S7	Q9VMC7
Q9VMC7	Q9W4M8
Q7JX41	Q7JVY2
Q9VKW8	Q9V9M6
Q9VT89	P21461
Q8IQG0	P48601
Q8IQG0	P46824
Q8IQG0	Q9VHR7
Q9VTV7	Q9VTV7
Q9VB22	Q9VTV7
Q9VTV7	Q9VB22
Q9VVK7	Q24008
Q9VVK7	Q9W3U0
Q9VVK7	P21187
Q9VZY7	Q9VYC7
Q9VZY7	Q9VT01
Q86B87	Q9VKR4
P00528	Q86B87
Q86B87	P49028
Q94518	Q8IR50
Q8IR50	Q7KML2
Q9V426	Q9VYC7
P49630	Q9VYC7
Q9V5P6	Q9VYC7
Q7KMH5	Q9VYC7
Q9VS34	Q9VYC7
Q9W2S2	Q9VSS2
Q9W2W9	Q9W171
Q9V9M6	Q8IP97
Q9V9M6	P23696
P00334	P07191
Q9V9S0	Q8MLW7
Q8IQQ4	O46036
Q9VK57	Q9VDC1
Q9VWQ2	Q9VDC1
O18640	Q9VDC1
Q9VDC1	Q9VHC7
P20439	Q9VLG9
