GeneID	#PubMed	Symbol
634	273	CEACAM1
10628	273	TXNIP
6688	273	SPI1
1003	273	CDH5
6613	273	SUMO2
57379	273	AICDA
2324	273	FLT4
5906	273	RAP1A
6175	273	RPLP0
688	273	KLF5
6441	273	SFTPD
3675	272	ITGA3
118	272	ADD1
7518	272	XRCC4
7094	272	TLN1
4040	272	LRP6
11338	272	U2AF2
10383	272	TUBB4B
5230	272	PGK1
2072	271	ERCC4
375	271	ARF1
823	270	CAPN1
10499	270	NCOA2
226	270	ALDOA
8661	270	EIF3A
5972	270	REN
5170	270	PDPK1
3290	269	HSD11B1
6709	269	SPTAN1
773	268	CACNA1A
5704	268	PSMC4
7507	268	XPA
156	268	GRK2
6223	268	RPS19
7409	268	VAV1
1973	268	EIF4A1
6716	267	SRD5A2
10575	267	CCT4
5423	267	POLB
8450	267	CUL4B
590	267	BCHE
4772	267	NFATC1
9636	266	ISG15
2903	266	GRIN2A
406984	266	MIR200B
5701	266	PSMC2
7454	265	WAS
5445	265	PON2
5921	265	RASA1
928	265	CD9
8797	264	TNFRSF10A
5915	264	RARB
4747	264	NEFL
1639	264	DCTN1
60674	263	GAS5
7035	263	TFPI
6428	263	SRSF3
5167	263	ENPP1
6187	263	RPS2
1514	263	CTSL
494324	262	MIR375
6118	262	RPA2
7471	262	WNT1
966	262	CD59
100	262	ADA
1634	262	DCN
7917	261	BAG6
407035	261	MIR31
406881	261	MIRLET7A1
1591	261	CYP24A1
1452	261	CSNK1A1
4738	261	NEDD8
5268	261	SERPINB5
406958	261	MIR182
908	261	CCT6A
6311	261	ATXN2
919	261	CD247
1859	260	DYRK1A
1495	260	CTNNA1
1138	260	CHRNA5
1269	260	CNR2
5707	260	PSMD1
51343	260	FZR1
6690	260	SPINK1
6749	260	SSRP1
3718	259	JAK3
26227	259	PHGDH
7112	259	TMPO
637	259	BID
1173	259	AP2M1
4317	259	MMP8
6548	259	SLC9A1
5311	259	PKD2
89	259	ACTN3
10892	259	MALT1
5431	259	POLR2B
5501	258	PPP1CC
10963	258	STIP1
8467	258	SMARCA5
9451	258	EIF2AK3
6124	258	RPL4
6122	258	RPL3
5700	258	PSMC1
6659	258	SOX4
100506658	258	OCLN
2246	257	FGF1
2264	257	FGFR4
1436	257	CSF1R
57521	257	RPTOR
8766	257	RAB11A
760	256	CA2
6189	256	RPS3A
3054	256	HCFC1
54901	256	CDKAL1
6616	255	SNAP25
4254	255	KITLG
1736	255	DKC1
1604	255	CD55
5978	255	REST
1806	255	DPYD
840	255	CASP7
2074	255	ERCC6
5291	255	PIK3CB
10630	254	PDPN
1665	254	DHX15
5524	254	PTPA
51366	254	UBR5
9588	254	PRDX6
9	254	NAT1
2057	254	EPOR
406911	254	MIR125B1
1910	254	EDNRB
5077	254	PAX3
350	253	APOH
8453	253	CUL2
2678	253	GGT1
406932	253	MIR140
5687	253	PSMA6
2719	253	GPC3
894	253	CCND2
7170	253	TPM3
3055	252	HCK
27178	252	IL37
7054	252	TH
5627	252	PROS1
54210	251	TREM1
406928	251	MIR137
4690	251	NCK1
3973	251	LHCGR
1282	250	COL4A1
7307	250	U2AF1
2026	250	ENO2
10392	250	NOD1
1742	250	DLG4
7043	250	TGFB3
5500	250	PPP1CB
7849	250	PAX8
9474	250	ATG5
5688	250	PSMA7
5664	249	PSEN2
406933	249	MIR141
57805	249	CCAR2
6599	249	SMARCC1
10197	249	PSME3
5062	249	PAK2
406987	249	MIR204
